ANT1,168.19,-225.68,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,164.88,-233.51,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,140.70,-236.60,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,159.95,-229.51,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,163.38,-232.56,90.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,156.18,-229.66,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,161.45,-229.18,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,152.40,-244.90,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C15,159.10,-228.30,90.00,1.0uF,NORDIC_NRF_3_RESC0402_L
C16,160.48,-227.61,180.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,146.58,-239.19,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,147.98,-239.12,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,152.44,-243.30,0.00,22uF,NORDIC_NRF_3_RESC0201_L
C2,163.48,-230.06,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,148.60,-246.00,269.20,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,157.80,-240.40,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C21,153.30,-241.40,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C22,168.98,-229.86,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,158.48,-242.12,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,156.70,-243.90,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,161.60,-240.80,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,152.82,-248.54,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,161.98,-250.00,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,166.58,-229.76,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,139.88,-250.22,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,150.98,-250.46,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,150.88,-244.60,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,153.88,-243.62,90.00,22uF,NORDIC_NRF_3_RESC0201_L
C34,144.08,-236.96,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,157.27,-242.45,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,152.51,-240.11,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,159.60,-240.90,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,167.78,-229.81,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,154.14,-229.72,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,154.40,-228.80,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,154.38,-231.14,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,152.00,-242.40,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C7,152.42,-244.09,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,160.52,-244.63,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,163.42,-235.08,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,145.69,-245.39,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,150.82,-230.51,270.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,145.73,-243.60,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,145.75,-247.08,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD-C5,142.60,-240.50,0.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C1,140.50,-235.20,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C10,138.50,-246.50,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C11,141.00,-244.20,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C12,141.00,-245.30,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C2,140.50,-234.20,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C6,140.90,-241.30,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C7,140.70,-242.20,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C8,140.80,-243.20,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C9,136.40,-246.50,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
IC1,155.91,-241.69,0.00,BQ25180YBGR_BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,150.06,-245.95,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,150.48,-238.11,90.00,BMA421,BMA423_BMA423
IC9,159.76,-242.63,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,137.62,-238.56,270.00,503480-2400,503480-2400_5034802400
J2,169.38,-239.30,0.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,151.25,-225.06,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,168.15,-228.44,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,157.21,-228.54,90.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,158.11,-229.66,270.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,146.32,-232.56,270.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,162.76,-243.42,270.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,141.14,-238.93,270.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,141.14,-229.76,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R1,155.02,-242.60,181.50,10K,ERA-1AEB3401C_0201
R17,149.87,-240.30,180.00,3K3,CPF0201D7K68C1_0201
R18,151.37,-240.14,180.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,147.15,-241.30,180.00,0.47,CPF0201D7K68C1_0201
R1_USB,153.10,-223.78,270.00,5K1,CPF0201D7K68C1_0201
R2,158.54,-243.46,180.00,0,CPF0201D7K68C1_0201
R2_EP_DR,147.55,-228.76,270.00,10K,CPF0201D7K68C1_0201
R2_USB,149.20,-223.77,270.00,5K1,CPF0201D7K68C1_0201
R3,150.47,-241.52,90.00,0,CPF0201D7K68C1_0201
R4,159.54,-245.12,90.00,0,CPF0201D7K68C1_0201
R5,143.08,-249.80,0.00,10K,CPF0201D7K68C1_0201
R7,158.78,-252.08,0.00,10K,CPF0201D7K68C1_0201
R8,148.38,-250.64,0.00,10K,CPF0201D7K68C1_0201
R_POWER_EPD,144.15,-239.18,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,148.25,-240.94,0.00,2.2,CPF0201D7K68C1_0201
SJ1,145.42,-242.12,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,162.21,-252.77,180.00,,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,150.91,-252.86,180.00,,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,139.60,-252.82,180.00,,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,162.64,-227.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,149.61,-243.27,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,170.62,-247.20,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,166.64,-247.15,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,152.98,-246.96,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,155.58,-248.88,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,156.34,-238.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,154.04,-237.92,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,152.94,-235.20,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,170.94,-233.11,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,168.79,-231.83,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,160.44,-238.65,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,153.32,-250.22,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,156.71,-246.36,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,158.89,-233.97,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,150.39,-248.46,180.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,165.98,-231.71,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,146.95,-237.14,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
